Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,View Count,Like Count,Comment Count
--8n6A8Q6M0,1.08,0.0,0.0,1.87,1.22,1.77,1.11,1.67,1.22,0.56,0.0,0.0,0.29,0.0,2.34,0.88,0.02,0,338385,11044,1371
-0FfyNZdHk0,0.055,0.0,0.0,0.92,1.34,0.755,0.88,1.325,1.25,1.085,1.825,1.52,0.96,0.605,0.895,0.21,0.19,1,147,4,1
-1B7cVoZr1c,0.875,0.0,0.7050000000000001,0.515,0.425,0.935,0.17,0.375,0.76,1.465,0.2,1.005,0.0,0.5,0.22,0.66,0.25,1,150876,3011,225
-4yu_13EHFM,0.92,0.17,0.0,0.01,0.16,0.64,0.74,0.0,0.0,0.0,0.26,0.0,0.0,0.0,1.25,0.68,0.0,1,28277,1158,381
-6FvAU9H98w,2.77,1.9,0.0,0.89,1.57,0.66,0.0,0.7,1.97,0.73,0.0,0.0,0.87,0.0,2.59,1.01,0.0,2,63409,1277,110
-7vF5F-1btE,0.27,0.0,0.59,0.3666666666666667,1.0783333333333334,1.025,0.6033333333333334,0.855,1.3,1.1183333333333334,0.2233333333333333,0.1383333333333333,0.4066666666666667,0.0816666666666666,0.8866666666666667,0.1433333333333333,0.0833333333333333,0,87790,4502,177
-9ACKA4sQ4U,1.315,0.34,0.0,0.39,0.27,0.325,0.265,0.5499999999999999,0.515,0.04,0.71,0.085,0.0,0.0,0.0,0.155,0.0,1,162,0,0
-9hDaG3nJwg,0.04,0.25,0.33,0.0,0.44,2.3,1.28,1.09,0.0,0.35,2.29,2.37,0.0,1.01,0.0,0.0,0.5,1,760108,33245,1568
-U5-r29G-t0,0.27,0.335,0.0,0.26,1.495,0.705,0.095,1.685,2.375,1.47,0.025,0.34,0.0,0.21,1.71,1.38,0.0,0,13852,493,66
008Fi25LbKY,0.0,0.0,0.51,0.56,2.165,3.095,0.41,2.585,2.04,1.0,0.725,0.38,0.0,0.0,1.9,0.55,0.115,0,38308,2288,204
00qBuhJeG-o,0.665,0.21,0.71,0.35,0.0,0.0,0.0,0.345,0.175,0.18,0.635,1.4700000000000002,0.225,0.0,0.0,1.385,0.435,1,36151,0,74
