Video_ID,face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
--8n6A8Q6M0,0.0,0.975,1.08,0.0,0.0,1.87,1.22,1.77,1.11,1.67,1.22,0.56,0.0,0.0,0.29,0.0,2.34,0.88,0.02,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0FfyNZdHk0,0.5,0.625,0.055,0.0,0.0,0.92,1.3399999999999999,0.755,0.88,1.325,1.25,1.085,1.8250000000000002,1.52,0.96,0.605,0.895,0.21,0.19,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
-1B7cVoZr1c,0.5,0.675,0.875,0.0,0.7050000000000001,0.515,0.425,0.935,0.17,0.375,0.76,1.4649999999999999,0.2,1.005,0.0,0.5,0.22,0.66,0.25,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0
-4yu_13EHFM,0.0,0.975,0.92,0.17,0.0,0.01,0.16,0.64,0.74,0.0,0.0,0.0,0.26,0.0,0.0,0.0,1.25,0.68,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
-6FvAU9H98w,0.0,0.875,2.77,1.9,0.0,0.89,1.57,0.66,0.0,0.7,1.97,0.73,0.0,0.0,0.87,0.0,2.59,1.01,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-7vF5F-1btE,2.5,0.9083333333333333,0.27,0.0,0.59,0.3666666666666667,1.0783333333333334,1.0250000000000001,0.6033333333333334,0.855,1.3,1.1183333333333334,0.2233333333333333,0.13833333333333334,0.4066666666666667,0.08166666666666667,0.8866666666666667,0.14333333333333334,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666
-9ACKA4sQ4U,0.5,0.5,1.315,0.34,0.0,0.39,0.27,0.325,0.265,0.5499999999999999,0.515,0.04,0.71,0.085,0.0,0.0,0.0,0.155,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
-9hDaG3nJwg,0.0,0.975,0.04,0.25,0.33,0.0,0.44,2.3,1.28,1.09,0.0,0.35,2.29,2.37,0.0,1.01,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-GVbt3qdq70,3.5,0.7,0.5175000000000001,0.12625,0.86125,0.67625,0.49,0.92,0.5662499999999999,0.4975,0.48125,0.46499999999999997,0.50875,1.07875,0.5125,0.0,0.69,0.4125,0.33625000000000005,0.75,0.875,0.625,0.25,0.375,0.625,0.375,0.625,0.25,0.5,0.25,0.5,0.625,0.0,0.375,0.375,0.25,0.375
-JTkbbE_KP4,0.5,0.025,1.09,0.095,0.415,1.7750000000000001,0.79,0.5449999999999999,0.435,0.67,0.565,0.36,0.355,0.875,0.0,0.53,0.3,0.375,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0
-NkPxyvAqzA,1.0,0.975,0.0,0.0,0.0,0.9566666666666667,1.23,1.2133333333333334,0.17,1.06,2.283333333333333,0.7466666666666667,0.11666666666666665,0.0,0.4533333333333333,0.24,1.7033333333333331,0.52,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
-U5-r29G-t0,0.5,0.95,0.27,0.335,0.0,0.26,1.495,0.705,0.095,1.685,2.375,1.47,0.025,0.34,0.0,0.21,1.71,1.38,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5
-WaDvcu7mcw,0.0,0.975,0.89,1.29,0.0,0.0,1.32,0.0,0.0,2.64,2.24,0.0,0.0,0.16,0.0,0.0,1.46,0.97,1.59,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-XCc67Ijcz8,0.0,0.975,0.0,0.85,1.62,1.87,1.19,1.53,2.06,2.55,0.12,1.67,0.67,0.51,1.18,0.0,3.99,2.39,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-Ya6eSQ3wng,3.5,0.89375,0.56375,0.32499999999999996,0.13624999999999998,0.8,0.16625,0.44375,0.215,0.40875,0.19875,0.255,0.74875,0.27,0.52875,0.16499999999999998,0.7224999999999999,0.5962500000000001,0.3775,0.75,0.625,0.375,0.25,0.0,0.375,0.25,0.375,0.125,0.375,0.625,0.125,0.625,0.375,0.75,0.5,0.125,0.375
-_E2KyNAvqg,2.0,0.9349999999999999,1.0379999999999998,0.704,0.292,1.45,0.298,1.0539999999999998,0.278,0.24,0.27999999999999997,0.536,0.004,0.014000000000000002,0.144,0.526,1.4100000000000001,0.8800000000000001,0.32799999999999996,0.8,0.8,0.2,0.6,0.2,0.6,0.6,0.4,0.2,0.2,0.4,0.0,0.6,0.4,0.8,0.8,0.0,0.6
-fWzHd63UCA,0.5,0.9,1.01,0.045,1.07,0.0,1.21,1.305,0.8999999999999999,0.76,0.61,1.565,0.62,1.17,1.77,0.8150000000000001,0.04,0.17,0.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0
-tg0rduTy7c,0.0,0.975,0.84,0.0,0.39,0.04,0.69,1.27,0.78,0.89,0.71,1.0,0.33,0.0,1.03,0.0,1.66,0.66,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-uj2svY5754,1.0,0.975,0.6166666666666667,0.0,0.03,0.08666666666666667,0.8366666666666666,1.24,0.33,1.17,1.3033333333333335,1.2166666666666666,0.006666666666666667,0.0,1.2,0.0,1.0933333333333335,0.22333333333333336,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
008Fi25LbKY,0.5,0.95,0.0,0.0,0.51,0.56,2.165,3.0949999999999998,0.41000000000000003,2.585,2.04,1.0,0.725,0.38,0.0,0.0,1.9000000000000001,0.55,0.115,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
00qBuhJeG-o,0.5,0.975,0.665,0.21,0.71,0.35,0.0,0.0,0.0,0.345,0.175,0.18,0.635,1.4700000000000002,0.225,0.0,0.0,1.385,0.43500000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0
01CgNpWKero,1.0,0.65,1.3333333333333333,1.9633333333333336,0.14666666666666667,2.5500000000000003,0.5766666666666667,0.6733333333333333,0.5033333333333333,0.24666666666666667,0.8766666666666666,0.49666666666666665,0.08,0.03666666666666667,0.0,0.15,1.08,0.9666666666666668,0.10333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
026urE67c8c,0.0,0.975,1.89,0.66,0.01,0.32,1.91,2.36,0.0,2.24,1.8,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.05,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
06YeEjVLC0E,0.5,0.95,0.195,0.01,0.0,0.66,0.9199999999999999,1.63,0.055,1.21,1.955,1.19,0.2,0.195,0.0,0.22500000000000003,1.4100000000000001,0.835,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0
06hhcGs3J88,2.5,0.9500000000000001,0.9049999999999999,0.6483333333333333,0.0,0.5416666666666666,0.205,0.6566666666666666,0.17,0.18500000000000003,0.595,0.21,0.165,0.03,0.0,0.0,0.7316666666666668,0.11833333333333333,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666
09HUMZrCH3A,0.5,0.95,0.71,0.045,0.64,0.46,0.255,0.4,0.28,0.165,1.1400000000000001,0.085,0.025,0.0,0.05,0.155,0.35,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0
0AuL6FQR3HE,0.5,0.6,1.6150000000000002,0.0,1.745,2.245,0.28,0.05,0.17,2.075,0.475,0.51,1.0350000000000001,1.145,0.0,0.525,0.555,0.0,0.55,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5
0Cj35oMbb9Q,1.5,0.7625,0.6575,0.03,0.1975,0.5025000000000001,1.03,1.07,0.1975,0.9775,0.9325,0.6849999999999999,0.155,0.0,0.1125,0.05,1.4875,1.0499999999999998,0.1275,1.0,1.0,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.25
0E4c8VDmUTk,0.5,0.45,0.84,0.055,0.0,0.97,0.54,0.945,0.025,0.295,0.0,0.0,2.265,0.24,0.57,0.25,0.48,0.235,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0
0ENcrVkHwBY,0.5,0.85,1.215,0.18,0.755,0.175,0.91,0.29,0.25,1.075,0.85,1.45,0.74,1.3250000000000002,1.01,0.14,0.155,1.105,0.085,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0
0GVD-9hxk_s,1.0,0.9249999999999999,0.9933333333333333,0.8466666666666667,0.5033333333333333,1.5366666666666668,0.69,0.6699999999999999,0.4466666666666667,0.9199999999999999,1.0533333333333332,0.9,0.3633333333333333,0.0,0.41,0.0,1.14,0.0,0.05666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0IJm5TFpldU,1.0,0.975,0.13333333333333333,0.0,0.2933333333333333,0.0,1.45,0.6666666666666666,1.0066666666666666,1.72,1.3566666666666667,1.2433333333333334,0.16333333333333333,0.0,0.31,0.0,1.0133333333333334,0.46666666666666673,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
0IMWasj76yU,0.0,0.975,0.13,0.0,0.08,0.81,0.9,1.59,1.38,1.03,0.0,0.46,1.38,0.83,0.0,0.0,0.08,0.28,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
0KOXxVJx0sk,1.0,0.008333333333333333,0.49,0.0,0.04666666666666667,0.0,1.4733333333333334,0.85,0.7799999999999999,1.26,0.8966666666666666,1.9266666666666667,0.25,1.21,1.9033333333333333,0.41333333333333333,0.4033333333333333,1.3833333333333335,0.08666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
0Mnau-zACiE,1.5,0.9375,0.35250000000000004,0.0325,0.0,0.7550000000000001,0.5375,0.45,0.2325,1.54,1.0,0.6025,0.7475,0.6174999999999999,0.0725,0.0,0.8825,0.755,0.0,0.25,0.75,0.25,1.0,0.5,0.25,0.75,0.75,0.5,0.75,1.0,0.5,0.25,0.0,0.75,0.75,0.75,0.0
0O2i843tdU4,1.5,0.7,1.7075,0.43749999999999994,0.7975,1.4975,0.1325,0.0,0.1775,0.8225,0.175,0.5275000000000001,0.3575,1.115,0.14,0.125,0.54,0.885,0.085,1.0,0.75,0.5,0.75,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.75,0.25,0.25,0.75,0.5,0.75,0.25
0Qr12Zerphs,1.5,0.925,0.41,0.435,0.0,0.7125,0.64,1.7349999999999999,0.12,0.6000000000000001,0.46499999999999997,0.2375,0.6375,0.645,0.5349999999999999,0.1825,0.9425,0.6950000000000001,0.32,0.5,0.5,0.5,0.75,0.5,1.0,0.25,0.25,0.0,0.25,1.0,0.5,0.25,0.25,0.75,1.0,0.25,0.5
0Rge7nN8wss,1.5,0.8625,1.9825,0.6225,0.185,2.075,0.1125,0.1475,0.0525,0.1075,0.57,0.51,0.1725,0.05,0.7425,0.0,0.285,0.24250000000000002,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.25,0.0,0.0
0SlWsnwIWN4,0.0,0.875,0.95,0.2,1.41,0.39,1.57,0.74,1.13,0.23,0.0,0.31,1.09,1.11,0.0,0.0,2.01,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0UDH4y28YVQ,0.0,0.975,0.34,0.0,0.0,0.0,2.2,0.56,0.97,2.39,2.59,2.08,0.0,0.0,0.0,0.0,1.94,0.82,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0UFz5YQk8o0,0.5,0.975,0.835,0.6,0.575,0.655,0.12,0.305,0.16,1.155,0.12,1.065,0.17,1.005,0.0,0.54,0.155,0.12,0.4,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
