Video_ID,View Count,Like Count,Comment Count
--8n6A8Q6M0,338385,11044,1371
-0FfyNZdHk0,147,4,1
-1B7cVoZr1c,150876,3011,225
-4yu_13EHFM,28277,1158,381
-6FvAU9H98w,63409,1277,110
-7vF5F-1btE,87790,4502,177
-9ACKA4sQ4U,162,0,0
-9bfDHHneyU,97677,4566,140
-9hDaG3nJwg,760108,33245,1568
-C5iB25BRsA,549589,12612,2662
#NAME?,306703,9252,319
#NAME?,120938,2386,197
#NAME?,23889,1414,107
#NAME?,11762,0,164
#NAME?,560813,16375,328
#NAME?,714,32,7
#NAME?,3734,181,48
-Pe-c-CHkIo,8531,49,3
#NAME?,557092,2691,0
-U5-r29G-t0,13852,493,66
#NAME?,123482,4555,156
-Wgdk-C7Rb8,5418,284,32
#NAME?,5962,201,14
#NAME?,1662516,69420,6889
#NAME?,18560,1301,54
#NAME?,51420,2114,199
#NAME?,160253,4334,473
#NAME?,474195,11212,1279
#NAME?,7564,190,87
#NAME?,97023,5310,566
#NAME?,2025,134,86
#NAME?,47613,3342,197
#NAME?,441139,7023,634
#NAME?,85800,2787,279
#NAME?,15672,555,10
0-_hHvFLbFQ,168941,7155,199
0-dAyU-yUWk,13440,452,111
008Fi25LbKY,38308,2288,204
00qBuhJeG-o,36151,0,74
01CgNpWKero,7772,258,26
026urE67c8c,111948,3939,497
06Qq4to_l10,6820,223,41
06YeEjVLC0E,6830,461,184
06hhcGs3J88,93184,3618,245
07dy2r8Cl6w,28439,1040,179
09HUMZrCH3A,717197,28185,1575
0AuL6FQR3HE,13931,414,62
0Ci6zVWeFWw,279121,9931,597
0Cj35oMbb9Q,424254,7287,770
0E4c8VDmUTk,93762,3137,256
0ENcrVkHwBY,46480,1778,192
0G5jfRhHsqg,2897,99,18
0GVD-9hxk_s,239,32,0
0IJm5TFpldU,6334,583,52
0IMWasj76yU,959,31,1
0IUVhutkQaI,27723,2149,340
0JiN_E6wK-E,5777,442,68
0KOXxVJx0sk,1683,80,19
0KqsD2FS-DM,61903,527,21
0KyvSgEO6Fc,55633,2832,781
0Lod4Yyv3qc,385699,11398,642
0Mnau-zACiE,773859,20105,2463
0O2i843tdU4,1419681,29189,4343
