Video_ID,Channel_ID,Channel Name,Subscriber Count,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,Channel_Weight
--8n6A8Q6M0,UCWm__g4cPmX-umorqM8VfWw,Travel with Luke Damant,1620000.0,1.08,0.0,0.0,1.87,1.22,1.77,1.11,1.67,1.22,0.56,0.0,0.0,0.29,0.0,2.34,0.88,0.02,0.0,0.00027311809519836344
-0FfyNZdHk0,UCR-yUQRWEciSqQowtTDHskA,Learn with Daryll,5250.0,0.055,0.0,0.0,0.92,1.34,0.755,0.88,1.325,1.25,1.085,1.825,1.52,0.96,0.605,0.895,0.21,0.19,1.0,0.0016387085711901807
-1B7cVoZr1c,UCUB6A2YY9soreMGNwDLh-zw,Combat Arms Channel,589000.0,0.875,0.0,0.7050000000000001,0.515,0.425,0.935,0.17,0.375,0.76,1.465,0.2,1.005,0.0,0.5,0.22,0.66,0.25,1.0,0.0008193542855950903
-4yu_13EHFM,UCFvQ_bDaalb-1ZyCb48LCpA,Chasing Kimberly,16500.0,0.92,0.17,0.0,0.01,0.16,0.64,0.74,0.0,0.0,0.0,0.26,0.0,0.0,0.0,1.25,0.68,0.0,1.0,0.00040967714279754517
-6FvAU9H98w,UCixD9UbKvDxzGNiPC_fgHyA,Paolo fromTOKYO,3620000.0,2.77,1.9,0.0,0.89,1.57,0.66,0.0,0.7,1.97,0.73,0.0,0.0,0.87,0.0,2.59,1.01,0.0,2.0,0.00032774171423803616
-7vF5F-1btE,UC_hN8xs99S6jnMdYCuJgoJA,Pinoy Planet,97800.0,0.27,0.0,0.59,0.3666666666666667,1.0783333333333334,1.025,0.6033333333333334,0.855,1.3,1.1183333333333334,0.2233333333333333,0.1383333333333333,0.4066666666666667,0.0816666666666666,0.8866666666666667,0.1433333333333333,0.0833333333333333,0.0,3.6015572993190784e-05
-9ACKA4sQ4U,UCufN1_2lxrI_C5JgbfU89ew, 🌻Mia's Kitchen🌻,3480.0,1.315,0.34,0.0,0.39,0.27,0.325,0.265,0.5499999999999999,0.515,0.04,0.71,0.085,0.0,0.0,0.0,0.155,0.0,1.0,0.0016387085711901807
-9bfDHHneyU,UC-wdvwNBuVobJRbISwjA5Hw,Alex Oh Reacts,179000.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
-9hDaG3nJwg,UCi9mzS8H-ez_30w5SCL2dmw,JREKML,1210000.0,0.04,0.25,0.33,0.0,0.44,2.3,1.28,1.09,0.0,0.35,2.29,2.37,0.0,1.01,0.0,0.0,0.5,1.0,6.827952379959086e-05
-C5iB25BRsA,UChJZEuE4O45M6CbcYOS3U1w,Mike's Philippine Retirement,54200.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
-GVbt3qdq70,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,0.5175000000000001,0.12625,0.86125,0.67625,0.49,0.92,0.5662499999999999,0.4975,0.48125,0.4649999999999999,0.50875,1.07875,0.5125,0.0,0.69,0.4125,0.33625,1.0,2.074314647076178e-05
-JTkbbE_KP4,UCxKN5z9rc4DlZ-7gI7mHKFg,T HUBS 22,101000.0,1.09,0.095,0.415,1.775,0.79,0.5449999999999999,0.435,0.67,0.565,0.36,0.355,0.875,0.0,0.53,0.3,0.375,0.0,1.0,0.0010924723807934538
-JlBNKlG3Yw,UCVv-y0k91qAA-uI_K46UBvg,Dabble and Travel,583000.0,,,,,,,,,,,,,,,,,,,0.00013109668569521446
-KHOXPq_M-Q,UCU78xbApo9_MCzS7B_tfY8w,AceBachelorCool,13700.0,,,,,,,,,,,,,,,,,,,0.0006554834284760723
-NkPxyvAqzA,UC25HBOBYfc-scqCQcyYKVNw,Lifey,248000.0,0.0,0.0,0.0,0.9566666666666668,1.23,1.2133333333333334,0.17,1.06,2.283333333333333,0.7466666666666667,0.1166666666666666,0.0,0.4533333333333333,0.24,1.7033333333333331,0.52,0.0,0.0,0.00040967714279754517
-O-ZnlGZq-4,UCCqW89kkbLYRK912SLPsEmw,ANN FLORES,7610.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
-P_7E7gq6vs,UCp4-ksiKbZ3vTmv3gQ6tF8w,The Wimmas,5890.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
-Pe-c-CHkIo,UCEOsP00dFUPSkLzEf12H3cA,T&A Travel Vlogs,3680.0,,,,,,,,,,,,,,,,,,,0.00036415746026448456
-Ts46vj5sEc,UC_2iPQwn_V2SflddzbtalLg,Celinka Updates,102000.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
-U5-r29G-t0,UCSp8fcx6N6EqteugsAHD9Vw,The Manifested Family,53500.0,0.27,0.335,0.0,0.26,1.495,0.705,0.095,1.685,2.375,1.47,0.025,0.34,0.0,0.21,1.71,1.38,0.0,0.0,0.0008193542855950903
-WaDvcu7mcw,UCcaIZBgmiYTJP9fpO_xjMTQ,Travel Escapes,246000.0,0.89,1.29,0.0,0.0,1.32,0.0,0.0,2.64,2.24,0.0,0.0,0.16,0.0,0.0,1.46,0.97,1.59,0.0,0.00032774171423803616
-Wgdk-C7Rb8,UCP_y6xg3u3hF3pskXosMQyQ,Canadian In Philippines,17000.0,,,,,,,,,,,,,,,,,,,0.0002341012244557401
-WuFjxvGJnI,UClC88Hwf0c115jFj-fhVj2A,Kano Harry,3930.0,,,,,,,,,,,,,,,,,,,0.00020483857139877258
-XCc67Ijcz8,UCCgVh36x3hbuRnHMpwl443Q,Music Game News,1210000.0,0.0,0.85,1.62,1.87,1.19,1.53,2.06,2.55,0.12,1.67,0.67,0.51,1.18,0.0,3.99,2.39,0.0,0.0,8.193542855950904e-05
-Ya6eSQ3wng,UCYr4VTQfBpXrccQw_H2S8RA,JUICY REACTS,318000.0,0.56375,0.3249999999999999,0.1362499999999999,0.8,0.16625,0.44375,0.215,0.40875,0.19875,0.255,0.74875,0.27,0.52875,0.1649999999999999,0.7224999999999999,0.5962500000000001,0.3775,1.0,0.00012138582008816153
-_E2KyNAvqg,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,1.0379999999999998,0.704,0.292,1.45,0.298,1.0539999999999998,0.278,0.24,0.2799999999999999,0.536,0.004,0.014,0.144,0.526,1.41,0.8800000000000001,0.3279999999999999,1.0,2.074314647076178e-05
-cOD9GglwzU,UCqdBWKP4_8bU-Rsk2LvVz6Q,BecomingFilipino,1140000.0,,,,,,,,,,,,,,,,,,,0.0001560674829704934
-fWzHd63UCA,UCO5Jeark1e_JP36mY3ua19g,The Commodity,98300.0,1.01,0.045,1.07,0.0,1.21,1.305,0.8999999999999999,0.76,0.61,1.565,0.62,1.17,1.77,0.8150000000000001,0.04,0.17,0.0,1.0,6.18380592901955e-05
-iQod4ZhOB8,UCdkq517IaeUcnG5CIiFX9RA,Shin Smith,36200.0,,,,,,,,,,,,,,,,,,,0.00010241928569938629
-laaTEnlB4U,UCzfEqx1_-zs2xUUzI3jVRSg,FinnSnow,541000.0,,,,,,,,,,,,,,,,,,,0.00016387085711901808
-nW5dsB-z4E,UCRe3yRMUuJkNeWLtO9kBGqg,Nurse Ruth Nook,8750.0,,,,,,,,,,,,,,,,,,,0.0004682024489114802
-qbHvJ626lI,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
-tg0rduTy7c,UCobYD8WgP3GPOqgvXF2Yy1w,Adam and Jane's Lifestyle,75500.0,0.84,0.0,0.39,0.04,0.69,1.27,0.78,0.89,0.71,1.0,0.33,0.0,1.03,0.0,1.66,0.66,0.0,1.0,6.827952379959086e-05
-uj2svY5754,UCobYD8WgP3GPOqgvXF2Yy1w,Adam and Jane's Lifestyle,75500.0,0.6166666666666667,0.0,0.03,0.0866666666666666,0.8366666666666666,1.24,0.33,1.17,1.3033333333333337,1.2166666666666666,0.0066666666666666,0.0,1.2,0.0,1.0933333333333335,0.2233333333333333,0.0,0.0,6.827952379959086e-05
-y_PrLcIeOg,UCoqGJPtvsPpALlhtqB1lcHA,Chris Lewis,1260000.0,,,,,,,,,,,,,,,,,,,0.0005462361903967269
0-_hHvFLbFQ,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
0-dAyU-yUWk,UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,163000.0,,,,,,,,,,,,,,,,,,,6.554834284760723e-05
008Fi25LbKY,UCLvnKTwSZEnCbTHNnqiivRQ,Dodo Explorers,188000.0,0.0,0.0,0.51,0.56,2.165,3.095,0.41,2.585,2.04,1.0,0.725,0.38,0.0,0.0,1.9,0.55,0.115,0.0,0.00020483857139877258
00qBuhJeG-o,UC3PVtkwtqwCD4LEPguBEADA,Mia Sandoval,395000.0,0.665,0.21,0.71,0.35,0.0,0.0,0.0,0.345,0.175,0.18,0.635,1.4700000000000002,0.225,0.0,0.0,1.385,0.435,1.0,0.00011705061222787004
01CgNpWKero,UCAUgY9e_n2DhyZTgvPRoJnQ,TriFate Geo,171000.0,1.3333333333333333,1.9633333333333336,0.1466666666666666,2.5500000000000003,0.5766666666666667,0.6733333333333333,0.5033333333333333,0.2466666666666666,0.8766666666666666,0.4966666666666666,0.08,0.0366666666666666,0.0,0.15,1.08,0.9666666666666668,0.1033333333333333,2.0,6.426308122314434e-05
026urE67c8c,UCHza0GAxOvBOeLKkMeL8EcQ,Ken Abroad,510000.0,1.89,0.66,0.01,0.32,1.91,2.36,0.0,2.24,1.8,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.05,0.0,0.00012138582008816153
06Qq4to_l10,UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,163000.0,,,,,,,,,,,,,,,,,,,6.554834284760723e-05
06YeEjVLC0E,UCtNK-R1uX4hKBYU-GM54gHQ,JJ's Journey,12600.0,0.195,0.01,0.0,0.66,0.92,1.63,0.055,1.21,1.955,1.19,0.2,0.195,0.0,0.225,1.41,0.835,0.0,0.0,0.0008193542855950903
06hhcGs3J88,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,0.905,0.6483333333333333,0.0,0.5416666666666666,0.205,0.6566666666666666,0.17,0.185,0.595,0.21,0.165,0.03,0.0,0.0,0.7316666666666668,0.1183333333333333,0.0,1.0,2.074314647076178e-05
07dy2r8Cl6w,UCQzpQN0PTfIx1ARe7lL1jXQ,PhillyinthePhilippines,134000.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
09HUMZrCH3A,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,19800000.0,0.71,0.045,0.64,0.46,0.255,0.4,0.28,0.165,1.14,0.085,0.025,0.0,0.05,0.155,0.35,0.0,0.0,1.0,0.0002521090109523355
0AuL6FQR3HE,UCubXkxcrWFOKmdcmdqdFPew,The Skillful Voice,4200.0,1.6150000000000002,0.0,1.745,2.245,0.28,0.05,0.17,2.075,0.475,0.51,1.035,1.145,0.0,0.525,0.555,0.0,0.55,1.0,0.0016387085711901807
0Ci6zVWeFWw,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
0Cj35oMbb9Q,UCHza0GAxOvBOeLKkMeL8EcQ,Ken Abroad,510000.0,0.6575,0.03,0.1975,0.5025000000000001,1.03,1.07,0.1975,0.9775,0.9325,0.6849999999999999,0.155,0.0,0.1125,0.05,1.4875,1.0499999999999998,0.1275,1.0,0.00012138582008816153
0E4c8VDmUTk,UCeJ5AjddCuEnZxtUggbzeDA,Bags Packed Family,269000.0,0.84,0.055,0.0,0.97,0.54,0.945,0.025,0.295,0.0,0.0,2.265,0.24,0.57,0.25,0.48,0.235,0.0,1.0,0.00036415746026448456
0ENcrVkHwBY,UCQQyW9Ki62OmGzHedws7xlQ,Bianca & Beyond,142000.0,1.215,0.18,0.755,0.175,0.91,0.29,0.25,1.075,0.85,1.45,0.74,1.3250000000000002,1.01,0.14,0.155,1.105,0.085,1.0,0.00010241928569938629
0G5jfRhHsqg,UCRbxApsHPfN2huG4Z6D0MeA,Dave Roams,53400.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
0GVD-9hxk_s,UCdBpCFv_RTOOBrImOlPT97g,RodVivKids Family Vlog Philippines 🇵🇭 ,9760.0,0.9933333333333332,0.8466666666666667,0.5033333333333333,1.5366666666666668,0.69,0.6699999999999999,0.4466666666666667,0.92,1.0533333333333332,0.9,0.3633333333333333,0.0,0.41,0.0,1.14,0.0,0.0566666666666666,1.0,0.0008193542855950903
0IJm5TFpldU,UC_hN8xs99S6jnMdYCuJgoJA,Pinoy Planet,97800.0,0.1333333333333333,0.0,0.2933333333333333,0.0,1.45,0.6666666666666666,1.0066666666666666,1.72,1.356666666666667,1.2433333333333334,0.1633333333333333,0.0,0.31,0.0,1.0133333333333334,0.4666666666666667,0.0,0.0,3.6015572993190784e-05
0IMWasj76yU,UCT99PQ5nkgshVaoBlU5jiKw,TEACHER PAUL REACTS (Teacher Paul),533000.0,0.13,0.0,0.08,0.81,0.9,1.59,1.38,1.03,0.0,0.46,1.38,0.83,0.0,0.0,0.08,0.28,0.1,1.0,0.0010924723807934538
0IUVhutkQaI,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
0JiN_E6wK-E,UCATIycLIXMeetRVO-XS4p7g,Adventure Faktory,3780.0,,,,,,,,,,,,,,,,,,,0.0006554834284760723
0KOXxVJx0sk,UCPNBc7ZRwmgk1I6j_lenAfw,The Love Train Nation,23900.0,0.49,0.0,0.0466666666666666,0.0,1.4733333333333334,0.85,0.7799999999999999,1.26,0.8966666666666666,1.9266666666666667,0.25,1.21,1.903333333333333,0.4133333333333333,0.4033333333333333,1.3833333333333335,0.0866666666666666,0.0,0.00010924723807934537
0KqsD2FS-DM,UCEOsP00dFUPSkLzEf12H3cA,T&A Travel Vlogs,3680.0,,,,,,,,,,,,,,,,,,,0.00036415746026448456
0KyvSgEO6Fc,UC94bSvWltDS6I0U_u7mn8VQ,Two Broskis,24800.0,,,,,,,,,,,,,,,,,,,0.00036415746026448456
0Lod4Yyv3qc,UCIgeYqubI5M8LoLCcZqwlpw,kelly,1460000.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
0Mnau-zACiE,UCatYGXWCXRt_0XLLKv1hkUw,Always Be Changing,501000.0,0.3525,0.0325,0.0,0.7550000000000001,0.5375,0.45,0.2325,1.54,1.0,0.6025,0.7475,0.6174999999999999,0.0725,0.0,0.8825,0.755,0.0,1.0,0.0002341012244557401
0O2i843tdU4,UC8S3gQ0LjFLx4cFrzBXytrw,Go With Ali,1410000.0,1.7075,0.4374999999999999,0.7975,1.4975,0.1325,0.0,0.1775,0.8225,0.175,0.5275000000000001,0.3575,1.115,0.14,0.125,0.54,0.885,0.085,1.0,0.0010924723807934538
0PKfbccBsBQ,UC3lpA2TVsu_2qKsPlw6FctQ,PAIR OF SOULS,5920.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
0PRBBJPpMrE,UCQYkvXhPNaRxlu-jAI5_5Zg,LeRoc Living Our Life Philippines,1240.0,,,,,,,,,,,,,,,,,,,0.00010572313362517294
0Pm8OGDsikk,UCt9BTGSxATM6axwfTY4KnEg,A Foreigner in the Philippines,265000.0,,,,,,,,,,,,,,,,,,,5.462361903967269e-05
0Pon0lDng8I,UCO5Jeark1e_JP36mY3ua19g,The Commodity,98300.0,,,,,,,,,,,,,,,,,,,6.18380592901955e-05
0Qps64cK1CA,UCt9BTGSxATM6axwfTY4KnEg,A Foreigner in the Philippines,265000.0,,,,,,,,,,,,,,,,,,,5.462361903967269e-05
0Qr12Zerphs,UCYuOZy_oPeZL_1BdHxf-Y2Q,One Down,69600.0,0.41,0.435,0.0,0.7125,0.64,1.735,0.12,0.6000000000000001,0.4649999999999999,0.2375,0.6375,0.645,0.5349999999999999,0.1825,0.9425,0.6950000000000001,0.32,1.0,0.00032774171423803616
0Rge7nN8wss,UCV7yw6i8SuLb_OSwgqCaipQ,The Sp8,2120.0,1.9825,0.6225,0.185,2.075,0.1125,0.1475,0.0525,0.1075,0.57,0.51,0.1725,0.05,0.7425,0.0,0.285,0.2425,0.0,2.0,0.0016387085711901807
0SW__3H_mNs,UC4ypznkS1QNOSTxLOScKG6A,Irene_Eneri,1850.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
0SlWsnwIWN4,UC6snmG1j-s6zzSc5i_L1hoA,Moto Touro,12600.0,0.95,0.2,1.41,0.39,1.57,0.74,1.13,0.23,0.0,0.31,1.09,1.11,0.0,0.0,2.01,0.5,0.0,1.0,0.0010924723807934538
0UDH4y28YVQ,UCVGxrPOe4sO05dsepa42l8w,Brad Newton - Fitness Street,27300.0,0.34,0.0,0.0,0.0,2.2,0.56,0.97,2.39,2.59,2.08,0.0,0.0,0.0,0.0,1.94,0.82,0.0,0.0,0.0004682024489114802
0UFz5YQk8o0,UCwLjaI2aS5HaM4sD5DjUBcg,lightKiraSS,1560.0,0.835,0.6,0.575,0.655,0.12,0.305,0.16,1.155,0.12,1.065,0.17,1.005,0.0,0.54,0.155,0.12,0.4,1.0,0.0008193542855950903
0UwKgcvcK5k,UCdkq517IaeUcnG5CIiFX9RA,Shin Smith,36200.0,,,,,,,,,,,,,,,,,,,0.00010241928569938629
0VEAGpTrYi8,UCTL128JylZO50B0MqbUuhSw,EL's Planet,232000.0,,,,,,,,,,,,,,,,,,,0.0002341012244557401
