Source,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
 -3rGtR_J1rQ.csv,0.23,0.0,0.0,0.0,1.5,1.87,0.7,0.87,1.63,1.46,0.0,2.37,1.93,0.87,0.0,0.0,0.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
 -83rdiEyMMY.csv,0.0,0.0,0.31,1.31,0.39,0.0,0.0,1.9,0.72,0.58,0.09,0.0,0.0,0.0,0.95,0.49,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 -83rdiEyMMY.csv,2.17,0.0,0.9,0.62,0.0,0.0,0.6,0.0,0.3,0.0,0.19,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 -83rdiEyMMY.csv,1.19,0.0,0.0,1.61,0.75,2.06,0.0,0.0,0.77,0.57,1.47,0.8,0.0,3.4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
 -9AnHP7fGng.csv,0.83,1.0,0.22,0.74,0.03,0.13,0.24,0.0,0.0,1.04,0.73,0.0,1.74,1.02,1.21,3.47,0.69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
 -9AnHP7fGng.csv,2.58,0.62,1.3,0.95,0.0,0.0,0.0,0.0,0.21,1.72,0.68,0.65,0.2,0.0,0.07,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 -9AnHP7fGng.csv,0.36,0.09,0.0,2.95,0.72,0.82,0.0,0.32,0.22,0.0,0.0,0.0,0.69,0.0,0.09,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 -9hDaG3nJwg.csv,0.04,0.25,0.33,0.0,0.44,2.3,1.28,1.09,0.0,0.35,2.29,2.37,0.0,1.01,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
 -bLoqjH-KLY.csv,0.7,0.0,1.53,0.0,2.27,2.6,1.53,1.51,1.16,4.98,1.62,0.97,0.0,1.63,2.14,2.02,1.31,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
 -CNp8hYVIyo.csv,4.02,3.52,0.0,0.84,0.17,1.21,0.0,0.0,1.38,0.0,0.3,0.0,0.12,0.0,0.72,0.77,0.43,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
 -CNp8hYVIyo.csv,1.59,0.0,0.11,0.0,0.75,1.3,0.76,2.19,1.19,0.45,0.11,0.0,0.0,0.0,0.42,1.25,0.32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
 -CNp8hYVIyo.csv,0.04,0.0,0.0,0.0,0.0,0.43,0.03,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
