Video ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster
 -3rGtR_J1rQ,0.23,0.0,0.0,0.0,1.5,1.87,0.7,0.87,1.63,1.46,0.0,2.37,1.93,0.87,0.0,0.0,0.56,1
 -83rdiEyMMY,2.17,0.0,0.9,1.61,0.75,2.06,0.6,1.9,0.77,0.58,1.47,0.8,0.0,3.4,0.95,0.49,0.0,1
 -9AnHP7fGng,2.58,1.0,1.3,2.95,0.72,0.82,0.24,0.32,0.22,1.72,0.73,0.65,1.74,1.02,1.21,3.47,0.69,1
 -9hDaG3nJwg,0.04,0.25,0.33,0.0,0.44,2.3,1.28,1.09,0.0,0.35,2.29,2.37,0.0,1.01,0.0,0.0,0.5,1
 -CNp8hYVIyo,4.02,3.52,0.11,0.84,0.75,1.3,0.76,2.19,1.38,0.45,0.3,0.0,0.41,0.0,0.72,1.25,0.43,1
 -DNUgid1yik,3.07,4.02,0.37,2.84,0.16,0.0,0.87,1.5,1.6,1.28,0.0,0.45,0.57,0.0,2.06,0.7,0.0,1
 -E2Qm5MhU8w,0.89,0.05,0.0,0.0,1.99,0.0,0.79,1.15,1.69,1.26,1.26,2.57,2.44,0.0,1.57,0.0,3.77,0
 -F6GwSrtXhM,1.32,0.0,0.81,0.22,1.9,3.01,0.57,1.4,1.85,0.99,0.0,0.0,0.71,0.0,2.94,1.43,0.83,0
 -FBmCITGFD4,0.42,0.13,1.26,0.0,2.93,3.84,0.93,3.09,3.11,1.66,0.89,0.0,0.64,0.0,3.38,1.36,1.28,0
 -HmG-L3piEE,1.61,1.13,1.17,1.08,2.12,1.93,2.22,1.03,1.87,0.39,1.83,3.08,1.9,0.65,1.66,2.09,1.42,0
 -HqYdiz61kc,1.77,0.92,1.73,1.3,2.91,2.84,1.14,1.31,2.44,2.2,0.91,0.27,1.26,0.1,1.06,1.78,1.52,0
 -Io9ico0m5c,1.46,0.4,0.89,1.16,0.52,1.36,0.0,0.5,0.69,0.09,0.25,1.0,0.7,0.87,0.0,0.0,0.67,1
 -K9-pGT52pE,1.82,0.84,1.17,0.12,2.61,1.59,1.13,2.72,3.39,1.82,0.25,0.56,1.64,0.73,2.31,1.51,1.05,0
 -L4QaGucxdE,0.37,0.26,0.0,1.52,0.24,0.0,0.84,0.0,0.53,0.0,0.75,0.15,1.56,0.0,0.57,0.0,0.0,1
 -N4O6BAzCGM,1.66,1.09,1.12,1.29,0.0,1.69,0.24,0.96,0.0,0.95,1.73,2.31,1.51,0.0,1.08,2.26,0.79,1
 -OJnaNi0Pdg,0.57,0.0,0.39,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.96,0.0,1
 -P495ma86r0,0.0,0.0,0.0,1.33,0.0,0.0,0.11,2.25,0.3,0.25,0.49,0.0,0.99,0.0,1.62,0.31,0.0,1
 -PV5_i_lVmE,1.25,3.01,1.42,1.25,1.44,1.3,0.62,2.07,2.1,1.39,0.65,0.0,0.17,0.45,2.35,0.21,0.0,0
 -W9wcP2CrNQ,1.43,0.78,1.52,0.41,1.48,1.83,1.42,1.38,2.45,0.68,2.13,2.39,1.38,1.05,3.73,2.38,0.59,0
 -XCc67Ijcz8,0.0,0.85,1.62,1.87,1.19,1.53,2.06,2.55,0.12,1.67,0.67,0.51,1.18,0.0,3.99,2.39,0.0,0
 -YnmcFu23MY,3.83,0.88,0.83,1.78,1.39,1.7,0.75,2.35,1.78,0.88,1.66,0.26,1.12,0.96,2.0,1.77,0.49,0
 -ZbKRdpQpLg,1.46,1.27,0.49,2.26,2.89,2.16,2.43,1.76,2.67,1.8,2.16,2.27,0.76,0.83,2.25,1.69,0.51,0
 -Zq3kTQJnfs,0.26,0.03,0.59,0.0,2.5,3.08,0.33,2.05,3.56,1.98,0.0,0.0,0.21,0.2,4.4,2.14,0.36,0
 -bLoqjH-KLY,0.7,0.0,1.53,0.0,2.27,2.6,1.53,1.51,1.16,4.98,1.62,0.97,0.0,1.63,2.14,2.02,1.31,0
 -d0IuFXS8Ws,0.89,1.69,0.63,2.94,1.07,1.24,0.0,2.2,2.04,0.0,0.46,0.0,0.0,0.0,3.14,0.68,0.0,1
 -f2Q1V2NA_w,0.12,0.0,0.25,0.87,1.68,2.77,0.18,2.12,3.06,1.07,0.77,0.0,0.36,0.0,3.05,1.39,0.0,0
 -giaOxJF2as,0.84,1.06,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.57,0.0,2.28,1.18,0.0,1
 -grZlXvn1Pg,0.75,0.01,1.26,1.45,0.0,0.0,0.0,1.02,0.28,0.58,0.0,0.34,0.0,0.0,1.62,1.03,0.0,1
 -gt1XdBwTvk,0.91,0.37,1.27,0.0,0.02,0.52,0.81,2.82,1.23,1.08,0.72,1.34,0.13,0.68,0.92,2.0,2.22,1
 -hZbzxAx9iA,1.59,1.32,0.5,1.31,0.0,0.0,0.0,0.0,0.12,0.4,1.33,1.77,0.08,0.0,0.0,1.65,0.0,1
 -kFeoZh_x28,0.63,0.68,1.16,0.0,0.44,0.12,0.34,1.2,0.45,0.63,0.5,1.63,0.0,0.02,0.0,0.0,2.01,1
 -kvqIM4VbDs,0.54,0.0,0.0,1.23,1.37,1.29,1.48,0.81,0.95,1.0,1.41,0.49,0.62,0.0,0.0,0.64,0.87,1
 -lJCXAlZAe0,0.74,0.0,0.13,2.28,2.29,2.71,0.46,0.9,2.46,1.32,0.0,0.0,0.32,0.0,1.62,1.35,0.45,0
 -m4_BxX73qY,1.56,1.65,0.0,1.77,0.22,0.0,0.0,1.51,1.35,0.89,0.0,0.0,0.0,0.0,2.83,0.93,0.0,1
 -mEmecb91MQ,0.0,0.0,0.0,0.0,2.21,2.53,0.12,3.31,2.28,1.71,0.1,0.0,0.82,0.0,1.91,0.0,0.0,0
 -nSHPyaoE54,1.77,0.19,2.53,1.03,0.0,0.02,1.62,2.67,0.0,0.09,1.44,0.71,0.0,0.0,0.57,1.08,0.0,1
 -pAw3q_jRNo,0.88,0.0,0.0,0.4,2.66,2.29,0.9,1.4,2.94,1.77,0.22,0.0,0.35,0.18,2.28,0.6,0.0,0
 -q2IoOR3pz4,0.33,0.0,0.8,0.0,1.68,1.35,0.46,2.64,3.03,2.38,0.0,0.0,0.34,0.75,2.41,2.17,1.29,0
 -qN07wMNGHI,0.35,0.0,0.77,0.0,3.1,3.05,1.13,2.97,3.25,0.75,1.33,0.4,0.67,0.98,2.76,0.5,1.07,0
 -qh_ENBmkk0,1.33,0.26,1.73,0.0,2.31,1.6,0.83,1.38,1.1,0.89,0.34,0.0,0.05,0.0,2.03,0.7,0.89,0
 -r0_RiUKMwI,2.2,0.49,0.5,2.34,0.66,0.0,0.4,1.42,0.18,0.0,0.89,0.45,0.0,0.0,1.97,0.65,0.0,1
 -sCaX_y8--A,1.06,0.4,0.71,0.5,0.71,0.04,0.0,0.12,1.27,0.0,1.2,0.0,0.69,0.0,0.71,0.0,1.07,1
 -sLNP_kZwL4,2.87,1.29,0.0,0.09,0.0,0.18,0.0,0.0,1.92,0.2,0.01,0.0,0.0,0.0,2.14,1.35,0.0,1
 -uGZw7dEo0M,0.0,0.0,0.48,0.06,0.0,1.68,1.06,0.0,0.0,0.0,4.94,0.0,0.0,0.25,0.39,2.32,0.54,1
 -uihp4i1xNk,2.18,0.11,1.94,2.57,0.98,2.25,0.77,3.23,1.05,0.04,1.29,1.4,1.28,0.07,2.23,3.56,0.36,0
00RVLaKUzcI,1.29,1.51,1.72,0.6,1.72,2.41,1.18,2.19,2.11,2.49,0.67,1.01,1.42,0.4,3.56,1.01,1.26,0
01KAy1vxr8E,0.0,0.0,2.69,1.7,0.86,2.32,1.72,0.93,0.0,0.0,0.0,0.0,0.0,0.0,4.06,2.57,0.0,1
04rjNrZe9L8,0.96,1.49,0.0,1.82,0.28,0.0,0.0,0.62,0.63,0.0,0.1,0.0,0.0,0.0,1.19,0.0,0.59,1
0AgEOisahXE,1.22,0.0,0.0,0.0,1.26,1.62,1.75,1.23,0.0,0.86,2.66,0.78,0.36,0.16,0.99,0.0,0.23,1
0CcaNf_2SlM,1.81,2.81,2.38,2.75,2.8,1.13,0.41,2.49,3.61,3.75,1.74,2.47,0.69,2.13,3.14,5.0,1.29,0
0FFIcO5KaFg,1.02,0.56,0.1,0.0,3.35,3.13,0.87,3.75,4.16,2.14,0.51,0.1,0.0,0.0,3.93,2.45,2.62,0
0Ixjd5qHGng,0.88,0.22,2.16,1.98,1.02,2.08,1.74,0.0,0.0,0.0,0.46,1.63,0.12,0.31,0.0,0.51,0.0,1
0IyAFtDa1ls,1.56,1.32,0.0,1.15,2.57,2.87,1.33,1.73,2.29,1.75,0.37,0.68,0.78,0.55,2.68,0.84,0.0,0
0KU2pyinDYc,1.13,0.53,0.0,0.91,0.35,1.67,0.87,0.94,0.56,0.18,1.4,0.78,0.0,0.39,0.35,1.6,0.0,1
0MdmKnVutTI,2.18,2.04,0.0,0.28,2.4,1.35,0.52,1.85,2.24,0.54,0.0,0.0,0.79,0.0,4.0,1.26,0.0,0
0NNToG_7RWY,1.34,1.56,0.0,1.76,0.0,0.0,0.34,0.0,0.0,0.83,0.08,0.0,0.28,0.09,0.0,0.08,0.0,1
0P1BkPGY_LE,1.36,0.0,1.12,1.2,0.0,0.0,0.55,1.0,0.28,0.37,0.09,0.62,0.0,0.0,0.31,0.0,0.0,1
0SJ_E6VIB28,0.0,0.0,1.21,1.63,0.0,1.63,0.19,0.68,0.0,2.1,0.7,0.0,2.44,0.0,0.33,0.5,0.0,1
0SuxlU2irSg,0.05,0.0,0.53,0.68,0.0,0.6,0.08,0.0,0.51,0.0,0.6,0.84,0.0,0.28,0.0,0.0,0.0,1
0UN-0TQnN3c,0.79,1.32,2.13,0.07,0.48,1.55,1.75,0.43,0.61,1.07,0.45,0.0,0.75,0.0,2.18,2.15,0.94,1
0_lWvb2wf_I,0.6,0.0,0.0,0.54,0.22,0.71,0.0,0.52,0.43,0.0,0.0,0.0,0.68,0.0,0.04,0.0,0.04,1
0_pTnqziRqo,1.7,0.32,0.67,1.43,1.29,0.43,0.86,1.41,1.84,2.0,0.96,0.47,0.3,0.12,2.45,1.08,0.43,0
0_xtMsHcq7Q,0.0,0.0,0.0,0.0,1.92,2.01,1.71,0.43,2.08,1.27,0.08,0.0,0.0,0.0,2.24,0.58,0.0,0
0lyLi1HPKWs,0.67,0.0,0.7,1.02,0.0,0.0,0.02,0.0,0.0,0.0,0.57,1.1,0.0,0.0,0.0,0.0,0.0,1
0nSdV9DJwow,0.0,0.0,0.44,0.12,0.87,2.22,0.77,0.0,0.32,1.61,0.08,0.0,1.58,0.59,0.44,0.0,0.0,1
0nWyGsI1vWw,0.0,0.0,0.0,2.01,3.12,3.06,1.11,2.3,3.63,2.52,1.72,0.0,0.24,0.5,2.49,2.23,1.68,0
0ozj6mJKjNA,2.74,2.32,1.15,4.15,0.58,1.36,0.78,3.1,1.67,1.81,0.96,1.88,1.23,0.78,4.53,0.9,0.0,0
0qkP7fdD4sk,1.73,2.39,0.0,0.04,0.0,0.0,0.25,0.07,0.0,0.95,0.78,1.54,0.01,0.51,0.26,0.81,1.43,1
0t6q8slqq6A,2.02,1.55,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,1.75,0.0,1
0tx11G-3Avo,2.62,2.73,0.0,3.03,0.0,0.0,0.09,0.0,0.0,0.0,1.43,0.15,1.03,0.56,2.77,0.0,0.08,1
0v2WtXVOa_w,2.26,1.2,1.17,1.93,0.62,0.93,1.11,1.43,0.93,2.74,0.76,0.77,1.7,0.36,1.93,1.76,0.95,0
0wmL2otfcdU,0.4,0.5,0.0,0.33,0.34,2.22,0.12,1.13,0.46,0.0,0.28,1.58,0.09,0.57,0.0,0.0,0.0,1
0xCOH15OaqM,1.83,0.39,0.59,2.65,0.23,1.11,0.0,1.96,0.54,0.78,0.37,0.27,0.23,0.0,0.01,1.04,0.0,1
0zLioQ87SI8,0.55,0.0,1.24,1.55,1.12,1.19,1.09,2.8,1.46,0.92,2.04,2.0,2.28,0.65,1.42,0.4,0.4,0
1-B5LQQ1o8c,1.2,2.03,1.11,1.48,1.37,2.52,0.51,2.72,0.83,1.59,2.3,0.45,0.0,0.0,1.19,2.01,1.79,0
10AgA-pblVE,2.33,2.2,0.88,2.28,1.35,1.63,0.0,0.76,2.9,1.88,0.58,0.0,0.95,0.23,3.36,0.98,0.23,0
12cGM8Quszs,1.33,0.64,0.53,3.62,3.48,1.59,0.34,1.95,2.83,1.96,1.41,2.76,1.98,0.97,3.39,3.85,0.92,0
14aJzjoWpZU,1.35,0.4,0.6,3.2,0.18,0.05,0.0,1.73,0.95,0.72,0.43,0.04,1.1,0.55,0.26,0.55,0.0,1
14yUx4IJ0Qg,1.98,0.26,0.81,2.0,1.68,2.25,0.9,1.87,0.78,3.63,0.98,0.56,1.67,1.53,0.84,0.0,0.2,0
15jelO2VXY8,1.31,0.31,0.0,2.09,0.47,2.66,0.0,0.8,0.47,1.25,0.83,0.7,3.26,0.1,0.44,1.17,0.97,1
1BNP-4VTDo8,1.63,0.48,1.59,1.85,1.86,2.72,1.03,2.58,3.0,1.63,0.42,1.68,1.32,0.26,2.49,0.83,0.57,0
1DzsWfHYT-s,2.45,2.89,0.65,4.09,1.54,1.98,0.45,1.18,1.38,0.0,0.6,0.0,0.2,0.03,4.04,2.92,0.0,0
1Es0kYdryIo,1.27,0.0,1.26,1.29,0.0,0.45,0.0,0.0,0.0,0.2,0.97,0.0,0.0,0.0,0.0,0.0,0.07,1
1FJE4khqN8c,0.13,0.43,1.33,2.47,0.62,1.38,1.97,0.0,0.0,0.0,1.77,0.0,0.16,0.0,2.28,0.0,0.0,1
1ID4xsdGV_Y,1.63,1.18,0.0,0.58,1.92,1.33,2.11,0.44,1.78,0.11,2.23,2.94,2.05,0.75,1.57,1.79,1.51,0
1IT2hKxh_Nc,0.26,0.0,3.46,1.0,1.73,1.2,0.0,2.1,1.49,2.62,0.45,2.51,0.0,0.7,0.25,3.48,0.0,0
1Id3LdofBzE,0.98,0.0,0.0,0.96,2.24,3.27,2.17,2.29,1.87,1.49,0.65,1.07,0.95,0.68,1.96,2.99,1.01,0
1IsOL4lFIUI,1.75,1.75,1.76,1.37,0.12,0.0,0.0,0.53,0.76,0.14,0.0,0.2,0.24,0.09,0.44,1.17,0.62,1
1IysclcSEjc,1.49,0.36,0.5,1.03,1.49,1.64,1.41,1.94,0.93,0.66,2.19,2.58,1.28,1.23,0.63,2.43,0.85,0
1J_qscMZfd8,1.4,0.34,0.0,0.67,1.35,1.93,1.46,0.57,1.0,0.71,2.46,2.46,0.76,1.0,0.09,1.3,0.67,1
1MjQUMrI33w,0.3,0.0,1.25,0.63,1.84,1.46,0.71,1.92,1.94,3.15,0.01,0.32,1.2,0.0,1.46,0.0,0.84,0
1QhgYA7ZBMs,0.39,1.58,0.0,0.54,1.92,2.62,1.44,1.97,2.28,1.4,0.66,0.4,0.75,0.0,3.76,0.46,0.09,0
1RE4zVbcthQ,1.51,0.07,2.12,2.08,0.45,1.66,1.49,1.62,0.85,2.36,1.06,1.11,0.6,0.94,0.12,0.23,0.0,1
1SPiVRRk_Ho,0.54,1.2,0.0,0.73,0.39,0.0,0.36,1.27,0.21,0.27,0.75,0.0,1.26,0.0,0.0,0.0,0.0,1
1T6MRWydVog,0.28,0.91,0.9,0.75,1.94,1.73,1.05,1.79,2.78,3.06,0.11,0.04,0.42,0.94,1.8,0.65,0.41,0
1UTvNeM21OU,1.49,1.16,2.42,1.54,0.0,0.0,0.19,0.16,0.64,0.46,0.0,1.1,0.24,0.15,0.0,1.79,0.0,1
1WS4BiqyZCU,1.44,0.28,0.24,2.13,1.86,2.3,1.33,1.43,2.1,3.63,1.11,0.0,0.0,1.31,2.61,0.37,0.34,0
1WX3Fx5hBvY,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.27,0.0,1.45,0.73,1.46,0.28,0.0,0.0,0.0,0.0,1
1XVs8YSHS64,2.25,0.87,0.67,1.46,0.0,0.06,0.66,1.75,0.0,0.0,1.0,1.44,0.0,0.0,0.28,0.64,1.17,1
1YP6esum2AU,1.78,0.0,0.99,3.49,1.05,1.17,0.91,1.52,2.4,1.27,0.86,0.0,2.47,0.0,2.22,0.0,0.0,0
1_aemBShH1w,1.62,1.09,0.77,2.03,1.0,0.34,3.85,1.48,1.68,0.42,1.68,5.0,2.32,0.0,2.55,3.55,1.91,0
1_vH5Ucxmfs,0.85,0.0,0.0,0.21,0.3,1.24,0.67,0.78,0.0,0.0,0.88,0.52,0.73,0.57,0.0,0.54,0.0,1
1aZblNH361o,0.45,0.34,0.2,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.88,0.32,0.4,1.25,0.29,1
1bhGyLyfxww,1.32,0.8,0.0,2.83,1.03,2.32,0.37,0.46,1.21,0.0,0.15,0.0,0.99,0.0,3.81,2.18,1.08,1
1fGtzDnoLFg,2.2,2.1,0.0,0.57,1.64,1.9,0.0,1.85,2.45,2.17,0.53,0.86,0.34,0.0,2.73,1.11,0.62,0
1igfL2tMxcc,0.0,0.41,1.56,3.07,0.0,2.51,1.67,0.75,0.0,0.0,1.95,1.05,0.33,0.09,3.03,2.02,0.0,1
1kpKO6cY6NM,0.92,0.49,0.0,0.85,0.0,1.09,0.0,0.25,0.0,1.19,0.51,0.3,0.32,0.0,0.05,1.15,0.0,1
1l9OAtbXp-M,0.0,0.0,0.0,0.0,0.92,0.54,0.0,1.27,1.16,0.82,0.0,0.0,0.0,0.0,0.81,0.0,0.0,1
1li1KZjdoJ4,1.53,0.11,2.52,0.75,0.88,1.81,0.54,0.85,1.39,1.85,0.93,2.0,0.11,0.39,0.0,0.5,0.69,1
1mj1e4i_Y3U,1.38,0.36,0.0,3.31,2.99,3.18,1.86,1.91,2.6,0.89,2.12,2.64,1.5,1.24,2.42,1.91,0.58,0
1mqRfhKeQHI,1.17,1.01,1.41,1.34,3.17,4.22,2.31,1.94,0.93,0.59,2.63,2.62,1.87,1.27,1.91,1.54,0.4,0
1pMy5cebiRU,0.85,0.0,0.43,1.55,1.82,2.3,0.99,0.48,0.6,0.55,0.0,0.0,0.0,0.5,2.17,1.73,0.0,1
