,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
AU01_r,1.0,0.6435814952704342,0.06476788520861174,0.40338390660465084,-0.18988071433795153,-0.12186633399676401,-0.2074170656785023,-0.04562167666482037,-0.1298242435729776,-0.05770157470356816,0.14868710664317744,0.097212204733504,0.025871178005752216,0.06733460068310086,-0.005646922152807056,0.023775730071551794,-0.00180060349286602
AU02_r,0.6435814952704342,1.0,-0.12053299215009705,0.5193574750097256,-0.199527656122599,-0.1739361259684642,-0.2092568008255474,-0.08350235586681012,-0.06496097239222566,-0.08311067792309436,0.017062067864502033,0.020666316809380164,-0.08242026604158484,0.004668456925062219,0.13417394517866543,0.14212163540474887,0.0001572417027290435
AU04_r,0.06476788520861174,-0.12053299215009705,1.0,-0.04107368931323341,-0.028351923693019695,0.06465665704279791,0.20479615139973265,0.010947760522091092,-0.1638692845913998,-0.002604154657309534,0.08850119408544416,0.0723325032721171,0.016711646917988245,0.04046364016718876,-0.050153927898489055,0.06326031882999254,0.13245753638012214
AU05_r,0.40338390660465084,0.5193574750097256,-0.04107368931323341,1.0,-0.3385033304822627,-0.25922239157028754,-0.22623926329349095,-0.19479940575975724,-0.27786585294210925,-0.20648164232250388,0.16866673273837202,0.0550743797024294,-0.049979012274806646,0.05212172667313306,-0.014629916027446625,0.1331158432854312,-0.22473636215044585
AU06_r,-0.18988071433795153,-0.199527656122599,-0.028351923693019695,-0.3385033304822627,1.0,0.6069049696633569,0.35801838019391496,0.667980408165677,0.8097658794526919,0.47142304741175806,-0.18239041338538475,-0.16944898016756418,0.09351913292658216,0.05123581261664406,0.5650091218932832,-0.0729830737894679,0.08908885527285067
AU07_r,-0.12186633399676401,-0.1739361259684642,0.06465665704279791,-0.25922239157028754,0.6069049696633569,1.0,0.33991156857239163,0.38702486662755065,0.41159647988726183,0.1745755374801733,0.017432705893945435,-0.10831709939160228,0.09264401232684584,0.09342418519079315,0.3600075389923926,0.029756028587816476,0.03238640899053395
AU09_r,-0.2074170656785023,-0.2092568008255474,0.20479615139973265,-0.22623926329349095,0.35801838019391496,0.33991156857239163,1.0,0.27666430236061973,0.10023165737328764,0.16321344257037257,0.10991174201269344,0.09639819472169237,0.08915164550731104,0.11639081769799166,0.1652370815466629,0.06809425875955719,0.07891163895249215
AU10_r,-0.04562167666482037,-0.08350235586681012,0.010947760522091092,-0.19479940575975724,0.667980408165677,0.38702486662755065,0.27666430236061973,1.0,0.6555929384084218,0.46453367960006353,-0.098151762604531,-0.10762468883166637,0.012636491790663673,0.04555785676475329,0.5309714233588173,0.007002499225421604,0.0720675113520119
AU12_r,-0.1298242435729776,-0.06496097239222566,-0.1638692845913998,-0.27786585294210925,0.8097658794526919,0.41159647988726183,0.10023165737328764,0.6555929384084218,1.0,0.522508650543255,-0.3537692610442851,-0.2748714096897525,0.01023602086676113,-0.04604493152154812,0.6262227825106362,-0.10704137225852564,0.0790281034195433
AU14_r,-0.05770157470356816,-0.08311067792309436,-0.002604154657309534,-0.20648164232250388,0.47142304741175806,0.1745755374801733,0.16321344257037257,0.46453367960006353,0.522508650543255,1.0,-0.1599575974771144,-0.0646509112494892,0.09714239770964453,0.14133398404554262,0.2724377498079426,-0.04263907428547341,0.059919412419866126
AU15_r,0.14868710664317744,0.017062067864502033,0.08850119408544416,0.16866673273837202,-0.18239041338538475,0.017432705893945435,0.10991174201269344,-0.098151762604531,-0.3537692610442851,-0.1599575974771144,1.0,0.3345384866880464,0.1333521133374166,0.3460594194835587,-0.1970808062448908,0.10247149323919477,0.0040615333439746
AU17_r,0.097212204733504,0.020666316809380164,0.0723325032721171,0.0550743797024294,-0.16944898016756418,-0.10831709939160228,0.09639819472169237,-0.10762468883166637,-0.2748714096897525,-0.0646509112494892,0.3345384866880464,1.0,0.13295655397243994,0.22118918179481373,-0.37016575598328355,0.07400584813793885,0.01593888960711776
AU20_r,0.025871178005752216,-0.08242026604158484,0.016711646917988245,-0.049979012274806646,0.09351913292658216,0.09264401232684584,0.08915164550731104,0.012636491790663673,0.01023602086676113,0.09714239770964453,0.1333521133374166,0.13295655397243994,1.0,0.027692912721279335,-0.02873146676110707,-0.05187117869895639,0.017405515497959892
AU23_r,0.06733460068310086,0.004668456925062219,0.04046364016718876,0.05212172667313306,0.05123581261664406,0.09342418519079315,0.11639081769799166,0.04555785676475329,-0.04604493152154812,0.14133398404554262,0.3460594194835587,0.22118918179481373,0.027692912721279335,1.0,-0.09999660423784822,0.10019681129690114,0.05221829032914603
AU25_r,-0.005646922152807056,0.13417394517866543,-0.050153927898489055,-0.014629916027446625,0.5650091218932832,0.3600075389923926,0.1652370815466629,0.5309714233588173,0.6262227825106362,0.2724377498079426,-0.1970808062448908,-0.37016575598328355,-0.02873146676110707,-0.09999660423784822,1.0,0.22918676526218706,0.08085177903454
AU26_r,0.023775730071551794,0.14212163540474887,0.06326031882999254,0.1331158432854312,-0.0729830737894679,0.029756028587816476,0.06809425875955719,0.007002499225421604,-0.10704137225852564,-0.04263907428547341,0.10247149323919477,0.07400584813793885,-0.05187117869895639,0.10019681129690114,0.22918676526218706,1.0,0.017532663932131286
AU45_r,-0.00180060349286602,0.0001572417027290435,0.13245753638012214,-0.22473636215044585,0.08908885527285067,0.03238640899053395,0.07891163895249215,0.0720675113520119,0.0790281034195433,0.059919412419866126,0.0040615333439746,0.01593888960711776,0.017405515497959892,0.05221829032914603,0.08085177903454,0.017532663932131286,1.0
