Video_ID,face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
--8n6A8Q6M0,0,0.975,1.08,0.0,0.0,1.87,1.22,1.77,1.11,1.67,1.22,0.56,0.0,0.0,0.29,0.0,2.34,0.88,0.02,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0FfyNZdHk0,0,0.875,0.11,0.0,0.0,0.0,1.64,0.96,1.03,0.91,1.53,1.1,1.16,0.29,1.51,0.0,1.26,0.0,0.38,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0FfyNZdHk0,1,0.375,0.0,0.0,0.0,1.84,1.04,0.55,0.73,1.74,0.97,1.07,2.49,2.75,0.41,1.21,0.53,0.42,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-1B7cVoZr1c,0,0.975,0.77,0.0,1.03,0.01,0.85,1.87,0.34,0.19,1.0,1.16,0.0,2.01,0.0,1.0,0.0,1.32,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1B7cVoZr1c,1,0.375,0.98,0.0,0.38,1.02,0.0,0.0,0.0,0.56,0.52,1.77,0.4,0.0,0.0,0.0,0.44,0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4yu_13EHFM,0,0.975,0.92,0.17,0.0,0.01,0.16,0.64,0.74,0.0,0.0,0.0,0.26,0.0,0.0,0.0,1.25,0.68,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
-6FvAU9H98w,0,0.875,2.77,1.9,0.0,0.89,1.57,0.66,0.0,0.7,1.97,0.73,0.0,0.0,0.87,0.0,2.59,1.01,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-7vF5F-1btE,0,0.875,0.7,0.0,0.33,0.0,1.06,0.0,0.69,0.52,1.29,0.64,0.0,0.71,0.2,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
-7vF5F-1btE,1,0.975,0.44,0.0,0.91,0.0,0.66,0.85,0.83,0.29,0.81,1.33,0.26,0.0,0.44,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-7vF5F-1btE,2,0.975,0.1,0.0,1.49,0.0,2.0,1.36,0.72,2.04,2.95,1.24,0.0,0.0,0.83,0.31,2.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-7vF5F-1btE,3,0.975,0.0,0.0,0.0,0.85,1.48,1.4,0.66,1.16,1.69,2.45,0.18,0.0,0.77,0.0,1.36,0.6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-7vF5F-1btE,4,0.975,0.0,0.0,0.0,0.0,1.27,2.54,0.72,1.12,1.06,1.05,0.18,0.12,0.2,0.18,0.4,0.26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
-7vF5F-1btE,5,0.675,0.38,0.0,0.81,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.18,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
